1.928310562 10.0.0.1:46422 10.0.0.3:5001 32 0x4f07ebd 0x4f0024d 22 2147483647 60928 343206 29696
1.935765452 10.0.0.1:46422 10.0.0.3:5001 32 0x4f0955d 0x4f00d9d 24 2147483647 67072 341390 29696
1.943049422 10.0.0.2:46136 10.0.0.4:5001 32 0xb9c84588 0xb9c7d468 20 2147483647 55296 346314 29696
1.950889487 10.0.0.1:46422 10.0.0.3:5001 32 0x4f0a655 0x4f018ed 26 2147483647 72704 340734 29696
1.958249566 10.0.0.1:46422 10.0.0.3:5001 32 0x4f0bcf5 0x4f0243d 28 2147483647 78336 341522 29696
1.962640043 10.0.0.2:46136 10.0.0.4:5001 32 0xb9c85c28 0xb9c7dfb8 22 2147483647 60928 345469 29696
1.970919445 10.0.0.2:46136 10.0.0.4:5001 32 0xb9c872c8 0xb9c7eb08 24 2147483647 67072 346227 29696
1.978163672 10.0.0.2:46136 10.0.0.4:5001 32 0xb9c883c0 0xb9c7f658 26 2147483647 72704 347925 29696
1.985970035 10.0.0.2:46136 10.0.0.4:5001 32 0xb9c89a60 0xb9c801a8 28 2147483647 78336 349255 29696
1.988974450 10.0.0.1:46422 10.0.0.3:5001 32 0x4f0c845 0x4f029e5 29 2147483647 81408 343132 29696
1.997304651 10.0.0.1:46422 10.0.0.3:5001 32 0x4f0dee5 0x4f03535 31 2147483647 87040 345561 29696
2.005092585 10.0.0.2:46136 10.0.0.4:5001 32 0xb9c8a5b0 0xb9c80750 29 2147483647 81408 351392 29696
2.013213955 10.0.0.2:46136 10.0.0.4:5001 32 0xb9c8bc50 0xb9c812a0 31 2147483647 87040 353590 29696
2.020117599 10.0.0.1:46422 10.0.0.3:5001 32 0x4f0f585 0x4f04085 33 2147483647 92672 348727 29696
2.027987172 10.0.0.1:46422 10.0.0.3:5001 32 0x4f10c25 0x4f04bd5 35 2147483647 98816 352408 29696
2.035044739 10.0.0.2:46136 10.0.0.4:5001 32 0xb9c8d2f0 0xb9c81df0 33 2147483647 92672 356529 29696
2.043556202 10.0.0.2:46136 10.0.0.4:5001 32 0xb9c8e990 0xb9c82940 35 2147483647 98816 360127 29696
2.051398399 10.0.0.1:46422 10.0.0.3:5001 32 0x4f122c5 0x4f05725 37 2147483647 104448 356613 29696
2.059711260 10.0.0.1:46422 10.0.0.3:5001 32 0x4f13965 0x4f06275 39 2147483647 110080 361217 29696
2.062575945 10.0.0.2:46136 10.0.0.4:5001 32 0xb9c90030 0xb9c83490 37 2147483647 104448 364340 29696
2.070540365 10.0.0.2:46136 10.0.0.4:5001 32 0xb9c916d0 0xb9c83fe0 39 2147483647 110080 368778 29696
2.086481050 10.0.0.3:5001 10.0.0.1:46422 2928 0x8070f34f 0x8070f34f 10 2147483647 29696 332000 113152
2.090338893 10.0.0.3:5001 10.0.0.1:46422 2928 0x8070f34f 0x8070f34f 10 2147483647 29696 332000 118784
2.098125438 10.0.0.3:5001 10.0.0.1:46422 2928 0x8070f34f 0x8070f34f 10 2147483647 29696 332000 124928
2.105584598 10.0.0.3:5001 10.0.0.1:46422 2928 0x8070f34f 0x8070f34f 10 2147483647 29696 332000 130560
2.113194303 10.0.0.3:5001 10.0.0.1:46422 1480 0x8070f34f 0x8070f34f 10 2147483647 29696 332000 136192
2.117097465 10.0.0.3:5001 10.0.0.1:46422 2928 0x8070f34f 0x8070f34f 10 2147483647 29696 332000 139264
2.124783745 10.0.0.4:5001 10.0.0.2:46136 2928 0x590e0f09 0x590e0f09 10 2147483647 29696 328000 113152
2.132950567 10.0.0.4:5001 10.0.0.2:46136 2928 0x590e0f09 0x590e0f09 10 2147483647 29696 328000 118784
2.141039601 10.0.0.3:5001 10.0.0.1:46422 2928 0x8070f34f 0x8070f34f 10 2147483647 29696 332000 144896
2.147948256 10.0.0.3:5001 10.0.0.1:46422 2928 0x8070f34f 0x8070f34f 10 2147483647 29696 332000 151040
2.156693098 10.0.0.3:5001 10.0.0.1:46422 2928 0x8070f34f 0x8070f34f 10 2147483647 29696 332000 156672
2.163604637 10.0.0.4:5001 10.0.0.2:46136 2928 0x590e0f09 0x590e0f09 10 2147483647 29696 328000 124928
2.171945353 10.0.0.4:5001 10.0.0.2:46136 2928 0x590e0f09 0x590e0f09 10 2147483647 29696 328000 130560
2.179152598 10.0.0.4:5001 10.0.0.2:46136 1480 0x590e0f09 0x590e0f09 10 2147483647 29696 328000 136192
