1.296153603 10.0.0.2:43302 10.0.0.4:5001 32 0x80fe25b8 0x80fd9df8 24 2147483647 67072 176535 29696
1.299989588 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 104448
1.304106446 10.0.0.2:43302 10.0.0.4:5001 32 0x80fe36b0 0x80fda948 26 2147483647 72704 176129 29696
1.308779228 10.0.0.4:5001 10.0.0.2:43302 1480 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 110080
1.311664239 10.0.0.3:5001 10.0.0.1:43592 2928 0x21594624 0x21594624 10 2147483647 29696 192000 81408
1.311761157 10.0.0.2:43302 10.0.0.4:5001 32 0x80fe4d50 0x80fdb498 28 2147483647 78336 176351 29696
1.315295358 10.0.0.2:43302 10.0.0.4:5001 32 0x80fe58a0 0x80fdba40 29 2147483647 81408 176991 29696
1.319481283 10.0.0.3:5001 10.0.0.1:43592 2928 0x21594624 0x21594624 10 2147483647 29696 192000 87040
1.323408310 10.0.0.2:43302 10.0.0.4:5001 32 0x80fe6f40 0x80fdc590 31 2147483647 87040 177510 29696
1.326571658 10.0.0.3:5001 10.0.0.1:43592 2928 0x21594624 0x21594624 10 2147483647 29696 192000 92672
1.331392565 10.0.0.2:43302 10.0.0.4:5001 32 0x80fe85e0 0x80fdd0e0 33 2147483647 92672 178496 29696
1.334252287 10.0.0.3:5001 10.0.0.1:43592 2928 0x21594624 0x21594624 10 2147483647 29696 192000 98816
1.338979049 10.0.0.2:43302 10.0.0.4:5001 32 0x80fe9c80 0x80fddc30 35 2147483647 98816 179861 29696
1.342075492 10.0.0.3:5001 10.0.0.1:43592 2928 0x21594624 0x21594624 10 2147483647 29696 192000 104448
1.346057987 10.0.0.1:43592 10.0.0.3:5001 32 0xec4dac2a 0xec4d3b0a 20 2147483647 55296 193924 29696
1.349826088 10.0.0.3:5001 10.0.0.1:43592 1480 0x21594624 0x21594624 10 2147483647 29696 192000 110080
1.353808800 10.0.0.1:43592 10.0.0.3:5001 32 0xec4dc2ca 0xec4d465a 22 2147483647 60928 194200 29696
1.362404042 10.0.0.1:43592 10.0.0.3:5001 32 0xec4dd96a 0xec4d51aa 24 2147483647 67072 195408 29696
1.365841221 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 113152
1.369309948 10.0.0.1:43592 10.0.0.3:5001 32 0xec4dea62 0xec4d5cfa 26 2147483647 72704 197126 29696
1.369488175 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 118784
1.377122801 10.0.0.1:43592 10.0.0.3:5001 32 0xec4e0102 0xec4d684a 28 2147483647 78336 198941 29696
1.377193879 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 124928
1.381119456 10.0.0.2:43302 10.0.0.4:5001 32 0x80feb320 0x80fde780 37 2147483647 104448 182002 29696
1.384924447 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 130560
1.390694746 10.0.0.2:43302 10.0.0.4:5001 32 0x80fec9c0 0x80fdf2d0 39 2147483647 110080 186216 29696
1.392738394 10.0.0.4:5001 10.0.0.2:43302 1480 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 136192
1.392839198 10.0.0.1:43592 10.0.0.3:5001 32 0xec4e0c52 0xec4d6df2 29 2147483647 81408 201026 29696
1.396591298 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 139264
1.400540473 10.0.0.1:43592 10.0.0.3:5001 32 0xec4e22f2 0xec4d7942 31 2147483647 87040 203853 29696
1.404464131 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 144896
1.408306486 10.0.0.1:43592 10.0.0.3:5001 32 0xec4e3992 0xec4d8492 33 2147483647 92672 207290 29696
1.412220235 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 151040
1.416090665 10.0.0.1:43592 10.0.0.3:5001 32 0xec4e5032 0xec4d8fe2 35 2147483647 98816 210374 29696
1.420015807 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 156672
1.423947618 10.0.0.1:43592 10.0.0.3:5001 32 0xec4e66d2 0xec4d9b32 37 2147483647 104448 214046 29696
1.427848150 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 162304
1.430877935 10.0.0.1:43592 10.0.0.3:5001 32 0xec4e7d72 0xec4da682 38 37 110080 217286 29696
1.435665343 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 168448
1.443475847 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 170496
1.447364725 10.0.0.2:43302 10.0.0.4:5001 32 0x80fed510 0x80fdf878 40 2147483647 113152 191099 29696
1.450310070 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 170496
1.450538442 10.0.0.2:43302 10.0.0.4:5001 32 0x80fef158 0x80fe03c8 42 2147483647 118784 187538 29696
1.458132874 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 170496
1.458251754 10.0.0.2:43302 10.0.0.4:5001 32 0x80ff07f8 0x80fe0f18 44 2147483647 124928 184818 29696
1.465910471 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 170496
1.466011746 10.0.0.2:43302 10.0.0.4:5001 32 0x80ff1e98 0x80fe1a68 46 2147483647 130560 182943 29696
1.473768376 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 170496
1.473860392 10.0.0.2:43302 10.0.0.4:5001 32 0x80ff3538 0x80fe25b8 48 2147483647 136192 182273 29696
1.477685116 10.0.0.2:43302 10.0.0.4:5001 32 0x80ff4088 0x80fe2b60 49 2147483647 139264 181703 29696
1.481514659 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 170496
1.486434382 10.0.0.2:43302 10.0.0.4:5001 32 0x80ff5728 0x80fe36b0 51 2147483647 144896 181682 29696
1.489362827 10.0.0.3:5001 10.0.0.1:43592 2928 0x21594624 0x21594624 10 2147483647 29696 192000 113152
1.494151236 10.0.0.2:43302 10.0.0.4:5001 32 0x80ff6dc8 0x80fe4200 53 2147483647 151040 181763 29696
1.498060036 10.0.0.3:5001 10.0.0.1:43592 2928 0x21594624 0x21594624 10 2147483647 29696 192000 118784
1.501070700 10.0.0.2:43302 10.0.0.4:5001 32 0x80ff8468 0x80fe4d50 55 2147483647 156672 182798 29696
1.504978426 10.0.0.3:5001 10.0.0.1:43592 2928 0x21594624 0x21594624 10 2147483647 29696 192000 124928
1.509801744 10.0.0.2:43302 10.0.0.4:5001 32 0x80ff9b08 0x80fe58a0 57 2147483647 162304 183612 29696
1.511783342 10.0.0.3:5001 10.0.0.1:43592 2928 0x21594624 0x21594624 10 2147483647 29696 192000 130560
1.517643861 10.0.0.2:43302 10.0.0.4:5001 32 0x80ffb1a8 0x80fe63f0 59 2147483647 168448 184973 29696
1.519652474 10.0.0.3:5001 10.0.0.1:43592 1480 0x21594624 0x21594624 10 2147483647 29696 192000 136192
1.523499988 10.0.0.3:5001 10.0.0.1:43592 2928 0x21594624 0x21594624 10 2147483647 29696 192000 139264
1.524544947 10.0.0.2:43302 10.0.0.4:5001 32 0x80ffc848 0x80fe6f40 61 2147483647 170496 187143 29696
1.531293453 10.0.0.3:5001 10.0.0.1:43592 2928 0x21594624 0x21594624 10 2147483647 29696 192000 144896
1.531399573 10.0.0.2:43302 10.0.0.4:5001 32 0x80ffdee8 0x80fe7a90 63 2147483647 170496 188893 29696
1.539104761 10.0.0.3:5001 10.0.0.1:43592 2928 0x21594624 0x21594624 10 2147483647 29696 192000 151040
1.539229342 10.0.0.2:43302 10.0.0.4:5001 32 0x80fff588 0x80fe85e0 65 2147483647 170496 191278 29696
1.546948008 10.0.0.3:5001 10.0.0.1:43592 2928 0x21594624 0x21594624 10 2147483647 29696 192000 156672
1.547043431 10.0.0.2:43302 10.0.0.4:5001 32 0x81000c28 0x80fe9130 67 2147483647 170496 193348 29696
1.554709301 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 170496
1.554816653 10.0.0.2:43302 10.0.0.4:5001 32 0x810022c8 0x80fe9c80 69 2147483647 170496 196135 29696
1.562514112 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 170496
1.562611223 10.0.0.2:43302 10.0.0.4:5001 32 0x81003968 0x80fea7d0 71 2147483647 170496 198596 29696
1.569493723 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 170496
1.570413868 10.0.0.1:43592 10.0.0.3:5001 32 0xec4e831a 0xec4dac2a 38 37 113152 220987 29696
1.577153352 10.0.0.3:5001 10.0.0.1:43592 2928 0x21594624 0x21594624 10 2147483647 29696 192000 162304
1.579169985 10.0.0.1:43592 10.0.0.3:5001 32 0xec4e8e6a 0xec4db77a 38 37 118784 221408 29696
1.585022950 10.0.0.3:5001 10.0.0.1:43592 2928 0x21594624 0x21594624 10 2147483647 29696 192000 168448
