1.344536755 10.0.0.1:46396 10.0.0.3:5001 32 0x6326629e 0x632514e6 59 2147483647 168448 185573 29696
1.344582075 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.351704362 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.352043915 10.0.0.1:46396 10.0.0.3:5001 32 0x6326793e 0x63252036 61 2147483647 170496 187490 29696
1.359401877 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 144896
1.359705189 10.0.0.1:46396 10.0.0.3:5001 32 0x63268fde 0x63252b86 63 2147483647 170496 189138 29696
1.367976423 10.0.0.2:46110 10.0.0.4:5001 32 0x6d449b50 0x6d43b910 40 2147483647 113152 219271 29696
1.368051764 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 151040
1.375768009 10.0.0.2:46110 10.0.0.4:5001 32 0x6d44b1f0 0x6d43c460 42 2147483647 118784 218041 29696
1.375802715 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 156672
1.382484392 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.382755446 10.0.0.2:46110 10.0.0.4:5001 32 0x6d44c890 0x6d43cfb0 44 2147483647 124928 217938 29696
1.390179805 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.390462301 10.0.0.2:46110 10.0.0.4:5001 32 0x6d44df30 0x6d43db00 46 2147483647 130560 217657 29696
1.398217114 10.0.0.2:46110 10.0.0.4:5001 32 0x6d44f5d0 0x6d43e650 48 2147483647 136192 218376 29696
1.398249741 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.401979369 10.0.0.2:46110 10.0.0.4:5001 32 0x6d450120 0x6d43ebf8 49 2147483647 139264 218987 29696
1.405573404 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 162304
1.409701839 10.0.0.1:46396 10.0.0.3:5001 32 0x6326a67e 0x632536d6 65 2147483647 170496 191536 29696
1.413227700 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 168448
1.417713023 10.0.0.1:46396 10.0.0.3:5001 32 0x6326bd1e 0x63254226 67 2147483647 170496 195870 29696
1.420916340 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 170496
1.426472337 10.0.0.1:46396 10.0.0.3:5001 32 0x6326d3be 0x63254d76 69 2147483647 170496 200661 29696
1.428621668 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 170496
1.433358770 10.0.0.1:46396 10.0.0.3:5001 32 0x6326ea5e 0x632558c6 71 2147483647 170496 205206 29696
1.436294494 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 170496
1.440778032 10.0.0.2:46110 10.0.0.4:5001 32 0x6d4517c0 0x6d43f748 51 2147483647 144896 219991 29696
1.444145554 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 170496
1.449939240 10.0.0.2:46110 10.0.0.4:5001 32 0x6d452e60 0x6d440298 53 2147483647 151040 222935 29696
1.451689122 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 170496
1.457805610 10.0.0.2:46110 10.0.0.4:5001 32 0x6d454500 0x6d440de8 55 2147483647 156672 226655 29696
1.459722109 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 170496
1.463583185 10.0.0.1:46396 10.0.0.3:5001 32 0x632700fe 0x63256416 73 2147483647 170496 210042 29696
1.467083193 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 170496
1.471231683 10.0.0.1:46396 10.0.0.3:5001 32 0x6327179e 0x63256f66 75 2147483647 170496 215625 29696
1.474979933 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 170496
1.479308761 10.0.0.1:46396 10.0.0.3:5001 32 0x63272e3e 0x63257ab6 77 2147483647 170496 221465 29696
1.482444151 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 170496
1.486656324 10.0.0.2:46110 10.0.0.4:5001 32 0x6d455ba0 0x6d441938 57 2147483647 162304 229954 29696
1.490163825 10.0.0.4:5001 10.0.0.2:46110 1480 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 170496
1.493967880 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.494267680 10.0.0.2:46110 10.0.0.4:5001 32 0x6d457240 0x6d442488 59 2147483647 168448 234471 29696
1.501731787 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.501962588 10.0.0.2:46110 10.0.0.4:5001 32 0x6d4588e0 0x6d442fd8 61 2147483647 170496 239373 29696
1.509357495 10.0.0.3:5001 10.0.0.1:46396 1480 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.509665381 10.0.0.2:46110 10.0.0.4:5001 32 0x6d459f80 0x6d443b28 63 2147483647 170496 243634 29696
1.513210752 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.518257268 10.0.0.2:46110 10.0.0.4:5001 32 0x6d45b620 0x6d444678 65 2147483647 170496 248324 29696
1.521491068 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.525688410 10.0.0.2:46110 10.0.0.4:5001 32 0x6d45ccc0 0x6d4451c8 67 2147483647 170496 252539 29696
1.528581472 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.532735623 10.0.0.2:46110 10.0.0.4:5001 32 0x6d45e360 0x6d445d18 69 2147483647 170496 257155 29696
1.536397048 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.541303317 10.0.0.2:46110 10.0.0.4:5001 32 0x6d45fa00 0x6d446868 71 2147483647 170496 261118 29696
1.543964895 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.548145576 10.0.0.2:46110 10.0.0.4:5001 32 0x6d4610a0 0x6d4473b8 73 2147483647 170496 265657 29696
1.551643657 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.556320381 10.0.0.2:46110 10.0.0.4:5001 32 0x6d462740 0x6d447f08 75 2147483647 170496 269494 29696
1.559336370 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.563502943 10.0.0.2:46110 10.0.0.4:5001 32 0x6d463de0 0x6d448a58 77 2147483647 170496 273873 29696
1.567141133 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.571860601 10.0.0.2:46110 10.0.0.4:5001 32 0x6d465480 0x6d4495a8 79 2147483647 170496 277671 29696
1.574724839 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.575014656 10.0.0.1:46396 10.0.0.3:5001 32 0x632744de 0x63258606 79 2147483647 170496 226655 29696
1.582417690 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.582775484 10.0.0.1:46396 10.0.0.3:5001 32 0x63275b7e 0x63259156 81 2147483647 170496 235673 29696
1.590179907 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.590415179 10.0.0.1:46396 10.0.0.3:5001 32 0x6327721e 0x63259ca6 83 2147483647 170496 244532 29696
1.594267595 10.0.0.1:46396 10.0.0.3:5001 32 0x63277d6e 0x6325a24e 84 2147483647 170496 253239 29696
1.597858316 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.603166708 10.0.0.1:46396 10.0.0.3:5001 32 0x63278e66 0x6325ad9e 86 2147483647 170496 261001 29696
1.605482406 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 170496
1.609978023 10.0.0.1:46396 10.0.0.3:5001 32 0x6327a506 0x6325b8ee 88 2147483647 170496 268906 29696
