20190407114420,10.0.0.1,33688,10.0.0.3,5001,132,33.0-34.0,131072,1048576
20190407114422,10.0.0.1,33688,10.0.0.3,5001,132,34.0-35.0,262144,2097152
20190407114423,10.0.0.1,33688,10.0.0.3,5001,132,35.0-36.0,262144,2097152
20190407114424,10.0.0.1,33688,10.0.0.3,5001,132,36.0-37.0,262144,2097152
20190407114425,10.0.0.1,33688,10.0.0.3,5001,132,37.0-38.0,131072,1048576
20190407114426,10.0.0.1,33688,10.0.0.3,5001,132,38.0-39.0,262144,2097152
20190407114427,10.0.0.1,33688,10.0.0.3,5001,132,39.0-40.0,131072,1048576
20190407114427,10.0.0.1,33688,10.0.0.3,5001,132,40.0-41.0,131072,1048576
20190407114429,10.0.0.1,33688,10.0.0.3,5001,132,41.0-42.0,262144,2097152
20190407114430,10.0.0.1,33688,10.0.0.3,5001,132,42.0-43.0,262144,2097152
20190407114431,10.0.0.1,33688,10.0.0.3,5001,132,43.0-44.0,131072,1048576
20190407114432,10.0.0.1,33688,10.0.0.3,5001,132,44.0-45.0,262144,2097152
20190407114433,10.0.0.1,33688,10.0.0.3,5001,132,45.0-46.0,131072,1048576
20190407114434,10.0.0.1,33688,10.0.0.3,5001,132,46.0-47.0,131072,1048576
20190407114435,10.0.0.1,33688,10.0.0.3,5001,132,47.0-48.0,131072,1048576
20190407114436,10.0.0.1,33688,10.0.0.3,5001,132,48.0-49.0,131072,1048576
20190407114437,10.0.0.1,33688,10.0.0.3,5001,132,49.0-50.0,131072,1048576
20190407114438,10.0.0.1,33688,10.0.0.3,5001,132,50.0-51.0,131072,1048576
20190407114439,10.0.0.1,33688,10.0.0.3,5001,132,51.0-52.0,131072,1048576
20190407114439,10.0.0.1,33688,10.0.0.3,5001,132,52.0-53.0,131072,1048576
20190407114440,10.0.0.1,33688,10.0.0.3,5001,132,53.0-54.0,262144,2097152
20190407114441,10.0.0.1,33688,10.0.0.3,5001,132,54.0-55.0,393216,3145728
20190407114442,10.0.0.1,33688,10.0.0.3,5001,132,55.0-56.0,393216,3145728
20190407114443,10.0.0.1,33688,10.0.0.3,5001,132,56.0-57.0,393216,3145728
20190407114444,10.0.0.1,33688,10.0.0.3,5001,132,57.0-58.0,262144,2097152
20190407114445,10.0.0.1,33688,10.0.0.3,5001,132,58.0-59.0,393216,3145728
20190407114446,10.0.0.1,33688,10.0.0.3,5001,132,59.0-60.0,393216,3145728
20190407114448,10.0.0.1,33688,10.0.0.3,5001,132,60.0-61.0,393216,3145728
20190407114448,10.0.0.1,33688,10.0.0.3,5001,132,61.0-62.0,262144,2097152
20190407114449,10.0.0.1,33688,10.0.0.3,5001,132,62.0-63.0,393216,3145728
20190407114450,10.0.0.1,33688,10.0.0.3,5001,132,63.0-64.0,393216,3145728
20190407114452,10.0.0.1,33688,10.0.0.3,5001,132,64.0-65.0,393216,3145728
20190407114452,10.0.0.1,33688,10.0.0.3,5001,132,65.0-66.0,262144,2097152
20190407114453,10.0.0.1,33688,10.0.0.3,5001,132,66.0-67.0,393216,3145728
20190407114454,10.0.0.1,33688,10.0.0.3,5001,132,67.0-68.0,393216,3145728
20190407114456,10.0.0.1,33688,10.0.0.3,5001,132,68.0-69.0,393216,3145728
20190407114456,10.0.0.1,33688,10.0.0.3,5001,132,69.0-70.0,262144,2097152
20190407114457,10.0.0.1,33688,10.0.0.3,5001,132,70.0-71.0,393216,3145728
20190407114458,10.0.0.1,33688,10.0.0.3,5001,132,71.0-72.0,393216,3145728
