2.096579502 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 124928
2.104238246 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 130560
2.112536440 10.0.0.4:5001 10.0.0.2:43266 1480 0xf378028a 0xf378028a 10 2147483647 29696 324000 136192
2.116733733 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 139264
2.123728449 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 144896
2.132084774 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 151040
2.138849004 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 156672
2.146958267 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 113152
2.154257762 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 118784
2.161904485 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 124928
2.169606486 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 130560
2.178263836 10.0.0.3:5001 10.0.0.1:43556 1480 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 136192
2.181144184 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 139264
2.189030798 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 162304
2.196870555 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 168448
2.204231626 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 170496
2.211879911 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 170496
2.220348104 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 144896
2.227280191 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 151040
2.234970224 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 156672
2.242749911 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 170496
2.247625530 10.0.0.2:43266 10.0.0.4:5001 32 0x7853d133 0x7852eef3 40 2147483647 113152 360787 29696
2.251155918 10.0.0.2:43266 10.0.0.4:5001 32 0x7853e7d3 0x7852fa43 42 2147483647 118784 356310 29696
2.251199500 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 170496
2.258038962 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 170496
2.258629791 10.0.0.2:43266 10.0.0.4:5001 32 0x7853fe73 0x78530593 44 2147483647 124928 352832 29696
2.266175484 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 170496
2.266298628 10.0.0.2:43266 10.0.0.4:5001 32 0x78541513 0x785310e3 46 2147483647 130560 350242 29696
2.273412601 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 162304
2.274580544 10.0.0.2:43266 10.0.0.4:5001 32 0x78542bb3 0x78531c33 48 2147483647 136192 348934 29696
2.278840227 10.0.0.2:43266 10.0.0.4:5001 32 0x78543703 0x785321db 49 2147483647 139264 347837 29696
2.281108917 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 168448
2.285821346 10.0.0.2:43266 10.0.0.4:5001 32 0x78544da3 0x78532d2b 51 2147483647 144896 347409 29696
2.288799305 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 170496
2.294476448 10.0.0.2:43266 10.0.0.4:5001 32 0x78546443 0x7853387b 53 2147483647 151040 346984 29696
2.296483202 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 170496
2.300984496 10.0.0.2:43266 10.0.0.4:5001 32 0x78547ae3 0x785343cb 55 2147483647 156672 347694 29696
2.305250778 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 170496
2.309090711 10.0.0.1:43556 10.0.0.3:5001 32 0xcb968e9e 0xcb95ac5e 40 2147483647 113152 378130 29696
2.312290586 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 170496
2.316533195 10.0.0.1:43556 10.0.0.3:5001 32 0xcb96a53e 0xcb95b7ae 42 2147483647 118784 375264 29696
2.319573649 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 170496
2.323950813 10.0.0.1:43556 10.0.0.3:5001 32 0xcb96bbde 0xcb95c2fe 44 2147483647 124928 373685 29696
2.327268498 10.0.0.4:5001 10.0.0.2:43266 1480 0xf378028a 0xf378028a 10 2147483647 29696 324000 170496
2.332507988 10.0.0.1:43556 10.0.0.3:5001 32 0xcb96d27e 0xcb95ce4e 46 2147483647 130560 372260 29696
2.332554802 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 170496
2.338789261 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 170496
2.340363582 10.0.0.1:43556 10.0.0.3:5001 32 0xcb96e91e 0xcb95d99e 48 2147483647 136192 372082 29696
2.343279829 10.0.0.1:43556 10.0.0.3:5001 32 0xcb96f46e 0xcb95df46 49 2147483647 139264 371936 29696
2.346482185 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 170496
2.351677289 10.0.0.2:43266 10.0.0.4:5001 32 0x78549183 0x78534f1b 57 2147483647 162304 348101 29696
2.354168332 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 170496
2.358936676 10.0.0.2:43266 10.0.0.4:5001 32 0x7854a823 0x78535a6b 59 2147483647 168448 351498 29696
2.362810972 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 170496
2.366313583 10.0.0.2:43266 10.0.0.4:5001 32 0x7854bec3 0x785365bb 61 2147483647 170496 355377 29696
2.369552774 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 170496
2.374542294 10.0.0.2:43266 10.0.0.4:5001 32 0x7854d563 0x7853710b 63 2147483647 170496 358721 29696
2.377437374 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 170496
2.382406615 10.0.0.1:43556 10.0.0.3:5001 32 0xcb970b0e 0xcb95ea96 51 2147483647 144896 372171 29696
2.385227934 10.0.0.3:5001 10.0.0.1:43556 1480 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 170496
2.389362705 10.0.0.1:43556 10.0.0.3:5001 32 0xcb9721ae 0xcb95f5e6 53 2147483647 151040 374447 29696
2.397567664 10.0.0.1:43556 10.0.0.3:5001 32 0xcb97384e 0xcb960136 55 2147483647 156672 377308 29696
2.405744864 10.0.0.2:43266 10.0.0.4:5001 32 0x7854ec03 0x78537c5b 65 2147483647 170496 362675 29696
2.410580674 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 170496
2.413547901 10.0.0.2:43266 10.0.0.4:5001 32 0x785502a3 0x785387ab 67 2147483647 170496 367595 29696
2.414226362 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 170496
2.420323659 10.0.0.2:43266 10.0.0.4:5001 32 0x78551943 0x785392fb 69 2147483647 170496 372874 29696
2.421912255 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 170496
2.429138109 10.0.0.2:43266 10.0.0.4:5001 32 0x78552fe3 0x78539e4b 71 2147483647 170496 377258 29696
2.429599062 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 170496
2.435614996 10.0.0.1:43556 10.0.0.3:5001 32 0xcb974eee 0xcb960c86 57 2147483647 162304 379857 29696
2.437300677 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 170496
2.443809496 10.0.0.1:43556 10.0.0.3:5001 32 0xcb97658e 0xcb9617d6 59 2147483647 168448 384406 29696
2.444977930 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 170496
2.451204171 10.0.0.1:43556 10.0.0.3:5001 32 0xcb977c2e 0xcb962326 61 2147483647 170496 389411 29696
