1.609923815 10.0.0.2:45176 10.0.0.4:5001 32 0xa3927787 0xa3922dff 13 2147483647 34816 333780 29696
1.625501634 10.0.0.1:45466 10.0.0.3:5001 32 0xfa921879 0xfa91e579 10 2147483647 28960 333319 29696
1.625538122 10.0.0.1:45466 10.0.0.3:5001 32 0xfa9223c9 0xfa91e591 11 2147483647 29184 334345 29696
1.625814784 10.0.0.1:45466 10.0.0.3:5001 32 0xfa922f19 0xfa91eb39 12 2147483647 32256 335245 29696
1.629291930 10.0.0.2:45176 10.0.0.4:5001 32 0xa392887f 0xa392394f 15 2147483647 40960 333127 29696
1.637577737 10.0.0.1:45466 10.0.0.3:5001 32 0xfa923a69 0xfa91f0e1 13 2147483647 34816 336068 29696
1.646390031 10.0.0.2:45176 10.0.0.4:5001 32 0xa3929f1f 0xa392449f 17 2147483647 46592 334974 29696
1.653225575 10.0.0.1:45466 10.0.0.3:5001 32 0xfa924b61 0xfa91fc31 15 2147483647 40960 338257 29696
1.661152120 10.0.0.2:45176 10.0.0.4:5001 32 0xa392b5bf 0xa3924fef 19 2147483647 52224 338608 29696
1.677794619 10.0.0.1:45466 10.0.0.3:5001 32 0xfa926201 0xfa920781 17 2147483647 46592 342130 29696
1.683529945 10.0.0.1:45466 10.0.0.3:5001 32 0xfa9278a1 0xfa9212d1 19 2147483647 52224 348462 29696
1.769344984 10.0.0.4:5001 10.0.0.2:45176 2928 0xbdfec982 0xbdfec982 10 2147483647 29696 332000 55296
1.773277690 10.0.0.4:5001 10.0.0.2:45176 2928 0xbdfec982 0xbdfec982 10 2147483647 29696 332000 60928
1.780678827 10.0.0.4:5001 10.0.0.2:45176 2928 0xbdfec982 0xbdfec982 10 2147483647 29696 332000 67072
1.788349413 10.0.0.4:5001 10.0.0.2:45176 2928 0xbdfec982 0xbdfec982 10 2147483647 29696 332000 72704
1.796037507 10.0.0.4:5001 10.0.0.2:45176 1480 0xbdfec982 0xbdfec982 10 2147483647 29696 332000 78336
1.799893301 10.0.0.3:5001 10.0.0.1:45466 2928 0xb58d3439 0xb58d3439 10 2147483647 29696 344000 55296
1.807569320 10.0.0.3:5001 10.0.0.1:45466 2928 0xb58d3439 0xb58d3439 10 2147483647 29696 344000 60928
1.816172003 10.0.0.3:5001 10.0.0.1:45466 2928 0xb58d3439 0xb58d3439 10 2147483647 29696 344000 67072
1.823178826 10.0.0.4:5001 10.0.0.2:45176 2928 0xbdfec982 0xbdfec982 10 2147483647 29696 332000 81408
1.830864850 10.0.0.4:5001 10.0.0.2:45176 2928 0xbdfec982 0xbdfec982 10 2147483647 29696 332000 87040
1.838343466 10.0.0.3:5001 10.0.0.1:45466 2928 0xb58d3439 0xb58d3439 10 2147483647 29696 344000 72704
