1.327276020 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 151040
1.329936928 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b1b628 0xa7b0f5d8 35 2147483647 98816 210299 29696
1.335929084 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 156672
1.337583999 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b1ccc8 0xa7b10128 37 2147483647 104448 213888 29696
1.342655681 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 162304
1.345682081 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b1e368 0xa7b10c78 39 2147483647 110080 217108 29696
1.350310487 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 168448
1.358009618 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 170496
1.363212789 10.0.0.2:45158 10.0.0.4:5001 32 0xf0088731 0xf007a4f1 40 2147483647 113152 190468 29696
1.365700282 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 170496
1.365971599 10.0.0.2:45158 10.0.0.4:5001 32 0xf0089dd1 0xf007b041 42 2147483647 118784 187140 29696
1.373369594 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 170496
1.373669753 10.0.0.2:45158 10.0.0.4:5001 32 0xf008b471 0xf007bb91 44 2147483647 124928 184570 29696
1.381079641 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 170496
1.381393909 10.0.0.2:45158 10.0.0.4:5001 32 0xf008cb11 0xf007c6e1 46 2147483647 130560 182834 29696
1.388772080 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 170496
1.389047493 10.0.0.2:45158 10.0.0.4:5001 32 0xf008e1b1 0xf007d231 48 2147483647 136192 182281 29696
1.393485254 10.0.0.2:45158 10.0.0.4:5001 32 0xf008ed01 0xf007d7d9 49 2147483647 139264 181788 29696
1.396449032 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 170496
1.401272551 10.0.0.2:45158 10.0.0.4:5001 32 0xf00903a1 0xf007e329 51 2147483647 144896 181912 29696
1.404307353 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 113152
1.409097100 10.0.0.2:45158 10.0.0.4:5001 32 0xf0091a41 0xf007ee79 53 2147483647 151040 182034 29696
1.411829088 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 118784
1.416997303 10.0.0.2:45158 10.0.0.4:5001 32 0xf00930e1 0xf007f9c9 55 2147483647 156672 183118 29696
1.419519533 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 124928
1.423758534 10.0.0.2:45158 10.0.0.4:5001 32 0xf0094781 0xf0080519 57 2147483647 162304 184097 29696
1.427216373 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 130560
1.431516607 10.0.0.2:45158 10.0.0.4:5001 32 0xf0095e21 0xf0081069 59 2147483647 168448 185317 29696
1.434911697 10.0.0.3:5001 10.0.0.1:45448 1480 0x433bda79 0x433bda79 10 2147483647 29696 188000 136192
1.438743661 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 139264
1.439054578 10.0.0.2:45158 10.0.0.4:5001 32 0xf00974c1 0xf0081bb9 61 2147483647 170496 187353 29696
1.446455816 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 170496
1.446815117 10.0.0.2:45158 10.0.0.4:5001 32 0xf0098b61 0xf0082709 63 2147483647 170496 189023 29696
1.454118001 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 170496
1.454416511 10.0.0.2:45158 10.0.0.4:5001 32 0xf009a201 0xf0083259 65 2147483647 170496 191455 29696
1.461828993 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 170496
1.462143676 10.0.0.2:45158 10.0.0.4:5001 32 0xf009b8a1 0xf0083da9 67 2147483647 170496 193550 29696
1.469605545 10.0.0.4:5001 10.0.0.2:45158 1480 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 170496
1.469818217 10.0.0.2:45158 10.0.0.4:5001 32 0xf009cf41 0xf00848f9 69 2147483647 170496 196348 29696
1.473350966 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 144896
1.477511737 10.0.0.2:45158 10.0.0.4:5001 32 0xf009e5e1 0xf0085449 71 2147483647 170496 198785 29696
1.481391642 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 151040
1.486207840 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b1f460 0xa7b11220 40 2147483647 113152 220936 29696
1.488736551 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 156672
1.492993219 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b20b00 0xa7b11d70 42 2147483647 118784 221487 29696
1.496439332 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 162304
1.500582306 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b221a0 0xa7b128c0 44 2147483647 124928 222817 29696
1.504109767 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 168448
1.508674761 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b23840 0xa7b13410 46 2147483647 130560 223971 29696
1.511821363 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 170496
1.516483532 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b24ee0 0xa7b13f60 48 2147483647 136192 225991 29696
