1.298226491 10.0.0.2:40434 10.0.0.4:5001 32 0x638c99e6 0x638bc2f6 39 2147483647 110080 206996 29696
1.302221671 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 118784
1.309865983 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 124928
1.314745411 10.0.0.1:40720 10.0.0.3:5001 32 0xd680d8f 0xd6730f7 40 2147483647 113152 202387 29696
1.317729110 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 130560
1.317850258 10.0.0.1:40720 10.0.0.3:5001 32 0xd6829d7 0xd673c47 42 2147483647 118784 197470 29696
1.324933694 10.0.0.4:5001 10.0.0.2:40434 1480 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 136192
1.325239997 10.0.0.1:40720 10.0.0.3:5001 32 0xd684077 0xd674797 44 2147483647 124928 193555 29696
1.329428007 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 139264
1.333013574 10.0.0.1:40720 10.0.0.3:5001 32 0xd685717 0xd6752e7 46 2147483647 130560 190591 29696
1.337280973 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 144896
1.340762932 10.0.0.1:40720 10.0.0.3:5001 32 0xd686db7 0xd675e37 48 2147483647 136192 188969 29696
1.345629555 10.0.0.1:40720 10.0.0.3:5001 32 0xd687907 0xd6763df 49 2147483647 139264 187505 29696
1.345657785 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 151040
1.352428862 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 156672
1.352565134 10.0.0.1:40720 10.0.0.3:5001 32 0xd688fa7 0xd676f2f 51 2147483647 144896 186830 29696
1.359702882 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 162304
1.359848281 10.0.0.1:40720 10.0.0.3:5001 32 0xd68a647 0xd677a7f 53 2147483647 151040 186170 29696
1.367242081 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 168448
1.367525618 10.0.0.1:40720 10.0.0.3:5001 32 0xd68bce7 0xd6785cf 55 2147483647 156672 186502 29696
1.375354104 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.375457089 10.0.0.2:40434 10.0.0.4:5001 32 0x638ca536 0x638bc89e 40 2147483647 113152 211979 29696
1.383241326 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.383338764 10.0.0.2:40434 10.0.0.4:5001 32 0x638cc17e 0x638bd3ee 42 2147483647 118784 209586 29696
1.390578855 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 162304
1.390914476 10.0.0.2:40434 10.0.0.4:5001 32 0x638cd81e 0x638bdf3e 44 2147483647 124928 208477 29696
1.398729774 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 168448
1.398804921 10.0.0.2:40434 10.0.0.4:5001 32 0x638ceebe 0x638bea8e 46 2147483647 130560 207459 29696
1.406143070 10.0.0.2:40434 10.0.0.4:5001 32 0x638d055e 0x638bf5de 48 2147483647 136192 207555 29696
1.406182215 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 170496
1.410502422 10.0.0.2:40434 10.0.0.4:5001 32 0x638d10ae 0x638bfb86 49 2147483647 139264 207656 29696
1.413466752 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 170496
1.418826273 10.0.0.2:40434 10.0.0.4:5001 32 0x638d274e 0x638c06d6 51 2147483647 144896 208288 29696
1.422242795 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.427031936 10.0.0.2:40434 10.0.0.4:5001 32 0x638d3dee 0x638c1226 53 2147483647 151040 208909 29696
