0.772907399 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.780199767 10.0.0.2:40468 10.0.0.4:5001 32 0x571c48ef 0x571b00df 58 56 170496 138222 29696
0.780734170 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.787011590 10.0.0.2:40468 10.0.0.4:5001 32 0x571c543f 0x571b0c2f 58 56 170496 142212 29696
0.788995986 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.793991941 10.0.0.2:40468 10.0.0.4:5001 32 0x571c5f8f 0x571b177f 58 56 170496 145605 29696
0.796026382 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.802661503 10.0.0.2:40468 10.0.0.4:5001 32 0x571c6adf 0x571b22cf 58 56 170496 149444 29696
0.804302089 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.810543006 10.0.0.2:40468 10.0.0.4:5001 32 0x571c762f 0x571b2e1f 58 56 170496 152990 29696
0.811358384 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.817343612 10.0.0.2:40468 10.0.0.4:5001 32 0x571c817f 0x571b396f 58 56 170496 157077 29696
0.819487861 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.825359834 10.0.0.2:40468 10.0.0.4:5001 32 0x571c8ccf 0x571b44bf 59 56 170496 160515 29696
0.827137875 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.832816757 10.0.0.2:40468 10.0.0.4:5001 32 0x571c981f 0x571b500f 59 56 170496 163941 29696
0.834558356 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.841357117 10.0.0.2:40468 10.0.0.4:5001 32 0x571ca36f 0x571b5b5f 59 56 170496 167870 29696
0.842326074 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.848208963 10.0.0.2:40468 10.0.0.4:5001 32 0x571caebf 0x571b66af 59 56 170496 171414 29696
0.850554109 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.856334660 10.0.0.2:40468 10.0.0.4:5001 32 0x571cba0f 0x571b71ff 59 56 170496 174926 29696
0.857510229 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.863374137 10.0.0.2:40468 10.0.0.4:5001 32 0x571cc55f 0x571b7d4f 59 56 170496 179013 29696
0.865261357 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.871963891 10.0.0.2:40468 10.0.0.4:5001 32 0x571cd0af 0x571b889f 59 56 170496 182553 29696
0.873021083 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 170496
0.879444269 10.0.0.2:40468 10.0.0.4:5001 32 0x571cdbff 0x571b93ef 59 56 170496 186722 29696
